Place Of Service,Service Type,Product,Group Size,In Network,Is Covered,Date of Service From,Date of Service To,Covered in Full,Copay,Coinsurance
Outpatient,boneDensityTest,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,boneDensityTest,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,boneDensityTest,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,brapostmastectomy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,brapostmastectomy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,brapostmastectomy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,brapostmastectomy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,brapostmastectomy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,brapostmastectomy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cardiacRehabilitation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cardiacRehabilitation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cardiacRehabilitation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,cardiacRehabilitation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,cardiacRehabilitation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,cardiacRehabilitation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cerumenWaxRemoval,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cerumenWaxRemoval,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cerumenWaxRemoval,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,cerumenWaxRemoval,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,cerumenWaxRemoval,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,cerumenWaxRemoval,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cerumenWaxRemoval,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cerumenWaxRemoval,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cerumenWaxRemoval,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,cerumenWaxRemoval,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,cerumenWaxRemoval,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,cerumenWaxRemoval,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,chemotherapy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,chemotherapy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,chemotherapy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,chemotherapy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,chemotherapy,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,chemotherapy,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,childbirthClasses,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,childbirthClasses,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,childbirthClasses,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,childbirthClasses,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,childbirthClasses,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,childbirthClasses,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,childImmunizations,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,childImmunizations,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,childImmunizations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,childImmunizations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,childImmunizations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,childImmunizations,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,chiropracticServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,chiropracticServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,chiropracticServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,chiropracticServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Office,chiropracticServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,chiropracticServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Outpatient,chlamydiaScreening,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Office,chlamydiaScreening,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,N
Inpatient,chlamydiaScreening,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,chlamydiaScreening,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,chlamydiaScreening,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,chlamydiaScreening,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,christianScienceServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,christianScienceServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,christianScienceServices,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,christianScienceServices,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,christianScienceServices,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,christianScienceServices,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,clinicalTrials,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicalTrials,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicalTrials,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,clinicalTrials,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicalTrials,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicalTrials,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,clinicServices,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,clinicServices,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,clinicServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,clinicServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,clinicServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,clinicServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,coeBariatricSurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,coeBariatricSurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,coeBariatricSurgery,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,coeBariatricSurgery,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,coeBariatricSurgery,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,coeBariatricSurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,coeOrganTransplant,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,coeOrganTransplant,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,coeOrganTransplant,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,coeOrganTransplant,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,coeOrganTransplant,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,coeOrganTransplant,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,essentalDentalServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,essentalDentalServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,essentalDentalServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,essentalDentalServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,essentalDentalServices,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,essentalDentalServices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,consciousSedation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,consciousSedation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,consciousSedation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,consciousSedation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,consciousSedation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,consciousSedation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,consultations,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,consultations,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,consultations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,consultations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,consultations,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,consultations,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,contraceptiveDevices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,contraceptiveDevices,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,contraceptiveDevices,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,contraceptiveDevices,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,contraceptiveDevices,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,contraceptiveDevices,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,contrastAgents,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,contrastAgents,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,contrastAgents,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,contrastAgents,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,contrastAgents,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,contrastAgents,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,cultredSubstituteSurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,cultredSubstituteSurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,cultredSubstituteSurgery,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,cultredSubstituteSurgery,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,cultredSubstituteSurgery,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,cultredSubstituteSurgery,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticDme,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticDme,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticDme,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticDme,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diabeticDme,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diabeticDme,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticDrugs,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticDrugs,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticDrugs,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticDrugs,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Office,diabeticDrugs,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticDrugs,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Outpatient,diabeticEducation,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Office,diabeticEducation,PRODUCT123,L,N,N,1/1/2015,12/31/2023,N,N,N
Inpatient,diabeticEducation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticEducation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diabeticEducation,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diabeticEducation,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticEyeExam,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticEyeExam,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticEyeExam,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticEyeExam,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diabeticEyeExam,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diabeticEyeExam,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticFootCare,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticFootCare,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticFootCare,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticFootCare,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diabeticFootCare,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diabeticFootCare,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticShoes,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticShoes,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticShoes,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticShoes,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diabeticShoes,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diabeticShoes,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticSupplies,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticSupplies,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticSupplies,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diabeticSupplies,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticSupplies,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diabeticSupplies,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diabeticTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diabeticTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diabeticTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diabeticTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diabeticTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diabeticTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diagnosticImaging,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diagnosticImaging,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diagnosticImaging,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diagnosticImaging,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diagnosticImaging,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diagnosticImaging,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,diagnosticTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,diagnosticTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,diagnosticTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,diagnosticTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,diagnosticTesting,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,diagnosticTesting,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,dme,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,dme,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,dme,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Outpatient,dme,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Office,dme,PRODUCT123,L,Y,Y,1/1/2015,12/31/2023,N,Copay XX,N
Inpatient,dme,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Outpatient,electiveAbortion,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Office,electiveAbortion,PRODUCT123,L,N,Y,1/1/2015,12/31/2023,N,N,Y
Inpatient,electiveAbortion,PRODUCT123,L,Y,N,1/1/2015,12/31/2023,N,N,N
